id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat.1,lon.1,housenumber,street,state,city,bathrooms
cddfff22d78b60bc5bc812697c20c502510bc99c,2016-04-04,sell,PH,-34.7502082308,-58.3657970849,48000.0,0,70.0,4,,"PH Interno. Patio y Jardín a la entrada. Galería. Cocina-Comedor con bajo mesada y piso de granito. 3 Dormitorios (2 c/ piso cerámico - 1 c/ granito). Hall Distribuidor. Lavadero con termotanque. Baño con ducha y Patio. "" EN COMÚN CON VACCARO PROPIEDADES "" ",Buenos Aires al 100,-34.750133857142856,-58.365699285714285,1072.0,Buenos Aires,Buenos Aires,San José,2
34619163dcd7331240e3e33b4b4dc1c10c8f614b,2016-02-02,sell,Departamento,-34.6060606,-58.5674007,48000.0,28,28.0,1,,"VENTA DE MONOAMBIENTE EN EDIFICIO PISO 5° DPTO ""B"" AL FRENTE. LIVING CON PLACARD. COCINA TOTALMENTE INSTALADA CON MUEBLES ALTOS Y BAJOS.  HALL DISTRIBUIDOR. BAÑO CON BAÑERA. TODOS LOS PISOS CERAMICOS. ESTADO BUENO MAS. MUY LUMINOSO. LAS MEDIDAS SON APROXIMADAS Y DADAS POR EL PROPIETARIO. EL VALOR DE LAS EXPENSAS ES ESTIMATIVO Y PUEDE SUFRIR MODIFICACIONES SIN PREVIO AVISO. CON RENTA !! -  - PABLO YARYURA PROPIEDADES",DEPARTAMENTO EN VENTA,-34.606057285714286,-58.56735914285714,2630.0,655 - Caseros,Buenos Aires,Caseros,2
a02224fb41fde392873ceaa0b9fbe3458f3286c4,2016-01-26,sell,Departamento,-34.6030058,-58.4035146,96000.0,67,67.0,3,,"DEPARTAMENTO DE EPOCA MUY LUMINOSO CONTRAFRENTE Y LATERAL. CUENTA CON 2 DORMITORIOS QUE SE CONECTAN ENTRE SI Y CON UN LIVING. TIENE AREA DE RECEPCION EN LA ENTRADA DEL DEPARTAMENTO Y UN PASILLO DISTRIBUIDOR QUE VENTILA AL LATERAL. POSEE UN BAÑO COMPLETO Y COCINA. MUCHOS MEDIOS DE TRANSPORTE CERCANOS. ZONA MUY CENTRICA. A 2 CUADRAS DE AV. CORRIENTES Y A 1 DE PUEYRREDON. IDEAL VIVIENDA O CONSULTORIO MEDICO.MEDIOS DE TRANSPORTE: Colectivos:24, 26, 29, 41, 61, 62, 64, 68, 71, 75, 95, 99, 101, 106, 109, 115, 118, 124, 132, 140, 146, 168, 180, 188, 194Subtes (Metro):CORRIENTES (Línea H), PASTEUR (Línea B), PUEYRREDON (Línea B)CONTACTO:  y telefónicamente al , también puede visitarnos personalmente a nuestra casa central sita en Av. Cnel. Díaz 2132 y Beruti CABA (a mts del shopping Alto Palermo y del Registro civil). Horarios de atención: 9:00hs a 13:00 hs y 14:00 hs a 19:00 hs. Atendido por profesionales matriculados. *TASAMOS EN EL DÍA*.-Patagones Propiedades Av. Coronel Diaz 2132 - Ciudad Buenos Aires",Departamento - Balvanera,-34.603,-58.4035,529.0,Paso,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
c57adcfe172f8b03483ba3aafcd8654f062a4c8d,2016-05-08,sell,Departamento,-31.417163,-64.5056802,96000.0,94,94.0,3,,"VENDO DEPARTAMENTO UBICADO EN CALLE CURUZU CUATIA N° 94 DE VILLA CARLOS PAZ.EL MISMO CUENTA CON UNA SUPERFICIE CUBIERTA DE 94 MTS2, DOS HABITACIONES, BAÑO, COCINA, LIVING COMEDOR Y BALCON CON UNA EXCELENTE VISTA. ADEMAS POSEE COCHERA Y PILETA EN EL MISMO EDIFICIO.SOLO PARTICULAR. NO INMOBILIARIAS.",Departamentos venta,-31.4172374,-64.5056713,99.0,Mitre,Córdoba,Villa Carlos Paz,2
8c5b46e554918a18b8c506daff29d3003890e97c,2015-11-24,sell,Departamento,-34.5954806,-58.4410775,96000.0,46,,2,,"Es una excelente y preferencial ubicación, con cercanía a centros comerciales y con medios de transporte al alcance (trenes, colectivos, metrobus, subte), en la tranquilidad de un entorno residencial y generosas arboledas.Edificio de imponente diseño, con una cuidada selección y combinación de materiales, moderno hall de ingreso y expansiones independientes para cada unidad.Amplios departamentos de diseño exclusivo de uno y dos ambientes con gran funcionalidad y luminosidad, aptos para uso profesional, oficina, estudio, etc.Con local comercial en planta baja. ",VERA 900,-34.5955,-58.4412,910.0,Vera,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
85808d5eb37c249370c5783a9c78a6d173fc589f,2016-04-13,sell,Casa,-34.8991524,-58.5567967,96000.0,130,130.0,4,2000.0,"Venta De Casa En Pesos Financiada Por Sus DueñosSobre lote de 700m2, la casa tiene 140 m2 , 3 dormitorios de 4 *4, 1 baño de 3 *1,90, cocina de 3,5* 3,5, living comedor de 6,50 * 4,5, 1 baño en galeria de 2*1,20 y un deposito de la misma medida galeria de 5*5 con parrilla y mesada con bacha. Sobre un lateral cochera semicubierta para 2 autos.A extrenar, muy buena construccion, enlucido de yeso, aberturas de aluminio blanco con mosquitero, muy luminosa. Cero humedad.En este momento se estan terminando detalles.La vendemos terminada llave en mano . NO DUDE EN PREGUNTAR . financiamos hasta el 40% del valor mediante una hipoteca. Expensas de $2000 por mes.Tomamos vehiculo, lote o dpto en parte de pago hasta un precio del 60% del valor de nuestra propiedad.Escritura inmediata. OFERTA !!!!solo u$95000  en las condiciones que se encuentra",CASA,-34.8994956,-58.5563409,1130.0,Gaddini,Buenos Aires,Tristán Suárez,2
6615392c11fd853d4e1b157dff926eeb41c8c03c,2016-04-28,sell,Departamento,-34.6128601,-58.4922702,96000.0,48,43.0,2,,"Excelente de Departamento 2 AMBIENTES en Villa del Parque*9 pisos, 4 departamentos por piso.*Planta baja con amplio y lujoso hall de entrada.*2 ascensores con puertas automáticas y cabina de acero inoxidable pulido.*Palieres semi-privados, con encendido automático de luces.*Laundry.*Cocheras optativas con portón levadizo a control remoto.*Solárium, parrilla, y espacio para usos múltiples en azoteas 10º piso.*El edificio es apto profesional. -  - LAURENZANO PROPIEDADES",DEPARTAMENTO EN VENTA,-34.6129,-58.4924,2104.0,Concordia,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
75547b469d988850b73d09c9703fd6c408d8d204,2016-03-21,sell,Departamento,-38.0007778,-57.5465499,96000.0,150,100.0,3,,RIVADAVIA Y SANTIAGO DEL ESTERO. DEPARTAMENTO DE 3 CON DEPENDENCIA CON 2 PATIOS. 150 MTS2 TOTALES!!AMPLIO LIVING COMEDOR. 2 DORMITORIOS CON PLACARD. DEPENDENCIA DE SERVICIO CON PLACARD MUY CÓMODA CON ACCESO DESDE EL LIVING. COCINA COMEDOR. BAÑO COMPLETO Y TOILETTE. 2 PATIOS Y LAVADERO. EDIFICIO CON BAULERA Y APTO PROFESIONAL.,DEPARTAMENTE DE 3 AMBIENTES CON DEPENDENCIA DE SERVICIO EN VENTA MAR DEL PLATA,-38.000913,-57.546572,2500.0,Rivadavia,Buenos Aires,Mar del Plata,2
ec6c79f8f2b18569ef810e2e30d45cc8a4dd3d63,2016-04-06,sell,Departamento,-34.5574843235,-58.4806254921,184000.0,70,61.0,2,1.0,"***OPORTUNIDAD A ESTRENAR   *APTO CREDITO* DEPARTAMENTO 2 AMBIENTES  DE 70M2 (61M2 CUBIERTOS Y 9 M2 DESCUBIERTOS)***. APTO PROFESIONAL.  LUMINOSO LIVING COMEDOR . DORMITORIO EN SUITE. BAÑO COMPLETO. COCINA INTEGRADA.  BALCON TERRAZA  **AMENITIES: SALA DE REUNIONES O SUM. ESPACIO PARA LAUNDRY. GYM. PARQUE ARBOLADO CON PISCINA. SOLARIUM CON DECK DE MADERA Y DUCHAS. PARRILLA DE USO COMUN. BAULERA OPTATIVA CON ACCESO POR ASCENSOR**   INMEJORABLE UBICACION: METROS DE AV BALBIN. METROS DE AV CRISOLOGO LARRALDE.  ** **  *TASACIONES EN EL DIA* ATENDEMOS TODOS LOS DIAS*SI TENES QUE VENDER PARA COMPRAR LEXINTON ES LA INMOBILIARIA POR EXCELENCIA EN COMPRA/ VENTA SIMULTANEA. COMUNÍCATE AL   // TASACIONES PROFESIONALESLas medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente.",OPORTUNIDAD A ESTRENAR 2 AMBIENTES,-34.5576,-58.4806,3906.0,Nunez,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
b177c6118b5f3d7c50705a753e678a6cbe130bbc,2016-02-10,sell,Departamento,-34.5574843235,-58.4806254921,184000.0,70,61.0,2,1.0,"**VENTA CON RENTA*OPORTUNIDAD A ESTRENAR   ** DEPARTAMENTO 2 AMBIENTES  DE 70M2 (61M2 CUBIERTOS Y 9 M2 DESCUBIERTOS)***. APTO PROFESIONAL.  LUMINOSO LIVING COMEDOR . DORMITORIO EN SUITE. BAÑO COMPLETO. COCINA INTEGRADA.  BALCON TERRAZA  **AMENITIES: SALA DE REUNIONES O SUM. ESPACIO PARA LAUNDRY. GYM. PARQUE ARBOLADO CON PISCINA. SOLARIUM CON DECK CE MADERA Y DUCHAS. PARRILLA DE USO COMUN. BAULERA OPTATIVA CON ACCESO POR ASCENSOR**   INMEJORABLE UBICACION: METROS DE AV BALBIN. METROS DE AV CRISOLOGO LARRALDE.  ** **  *TASACIONES EN EL DIA* ATENDEMOS TODOS LOS DIAS*SI TENES QUE VENDER PARA COMPRAR LEXINTON ES LA INMOBILIARIA POR EXCELENCIA EN COMPRA/ VENTA SIMULTANEA. COMUNÍCATE AL   // TASACIONES PROFESIONALESLas medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente.",NAON 3500,-34.5576,-58.4806,3906.0,Nunez,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
