id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat.1,lon.1,housenumber,street,city,state,bathrooms
6d24be885e1bd51d2efd80a1eb2d4d6876cbf4f5,2017-12-07,rent,Departamento,-38.707045,-62.2611914,365.3,35,35.0,4,,"Departamento de un dormitorio totalmente amoblado, en excelente ubicacion. Calle 11 de Abril al 700.1er piso por escalera.Dormitorio con dos camas, escritorio  y placard.Baño.Cocina integrada al living comedor.Balcón.",DEPARTAMENTO DE 1 DORMITORIO AMOBLADO,-38.70702770204082,-62.261201822448974,712,11 de Abril,Bahía Blanca,Buenos Aires,2
ea0bce25d30b72b5abab7889f187269b15c0b731,2017-12-06,rent,PH,-34.7124131,-58.3731273,365.3,60,60.0,2,,"# RESERVADO #DEPTO TIPO CASA EN PH EN UNA PLANTA - LIVING COMEDOR, UN DORMITORIO, COCINA, PATIO GARAGE,  TODOS LOS MEDIOS DE TRANSPORTE, y líneas de colectivo.Rejas al frente, muy luminoso, Garage techado  p/1 autom. techos de madera a la vista, Amplio Living Comedor, Hall distribuidor, 1 baño completo con bañera, Cocina completa con mucha luz natural, un dormitorio super amplio, lugar suficiente para amplio placard (no provisto). Patio libre con toldo revatible aluminio. Termotanque a Gas Natural. POSEE Linea telefonica. 60 m2 aprox.- TODOS LOS SERVICIOS.ALQUILER INICIAL: $ 7.000.* (consulte resto del contrato). Requisitos y condiciones: Garantía propietaria familiar directo, ingresos justificables acordes al monto alquiler y/o recibos sueldo sujetos a verificación. o Seguro de caución GISA. 1 mes depósito, 1 mes adelantado, averiguación Gtías veráz, honorarios inmobiliarios, sellados de ley, certif. firmas a cargo inquilino. Abona: Luz, Metrogas, Tsg municipal, Arba, Aysa y  Seguro obligatorio incendios y Resp. Civil linderos. Mas detalles en ",PH - Lanús Este,-34.7123872,-58.3730551,1400,Pergamino,Lanús Este,Buenos Aires,2
55eef7a91436bec1088b22ef00dea3eaa94d4e77,2017-10-19,rent,Departamento,-34.7063026,-58.3888588,365.3,50,50.0,2,2800.0,"EXCELENTE DEPARTAMENTO DE 2 AMBIENTES AL FRENTE.=== COCINA, con Lavadero=== LIVING - COMEDOR=== BAÑO 1.77 X 2.20 completo con bañera pisos y revestimientos ceramicos=== DISTRIBUIDOR=== DORMITORIO 3 X 3 con placard alfombrado=== BALCON al frente=== PATIO=== Alquiler: $7.000.-=== ACTUALIZACION SEMESTRAL 12,5%=== + EXPENSAS $ 2800 aprox. (incluye aysa).=== REQUISITOS: 1 mes de adelanto, 1 mes de deposito, GARANTIA PROPIETARIA,5% honorarios, 1% sellados, certif. de firmas, certif. de garantia e informe veraz.Las ofertas descriptas estan sujetas a disponibilidad y la informacion dada podra contener imprecisiones tecnicas o errores tipograficos.",2 AMBIENTES AL FRENTE,-34.706274,-58.3889106,1801,Presidente Sarmiento,Lanús Este,Buenos Aires,2
f8b229455f09627c09af80d8e773457d0d4adcf4,2017-09-28,rent,Departamento,-34.7568074,-58.4013588,365.3,50,45.0,2,1450.0,"DOS AMBIENTES EN ALQUILER, EN EXCELENTE UBICACION, A METROS DE LA AVENIDA HIPOLITO YRIGOYEN. CONSTA DE LIVING COMEDOR, COCINA INTEGRADA, BAÑO COMPLETO, DORMITORIO CON PLACARD. DOBLE BALCON. Alem Propiedades | Roberto CelanoOficina Lomas  | Oficina Canning ",Departamento - Lomas De Zamora,-34.75679185714286,-58.40135871428571,379,Francisco Portela,Lomas de Zamora,Buenos Aires,2
216c9873aab5ab59fc372f992764d86e643be747,2017-08-19,rent,Departamento,-34.9205185625,-57.9846235993,365.3,58,55.0,3,1700.0,"Departamento al frente, dos dormitorios con placard, cocina con muebles bajo y sobre mesada, barra desayunadora, living comedor, baño completo, tiro balanceado en living y aire frio calor.-",Departamento en alquiler en La Plata Calle 35 e/ 25 y 26  Dacal Bienes Raices,-34.92057470813348,-57.98456343176186,1530,Calle 35,La Plata,Buenos Aires,2
a07a374f206e4cb5cc06c4ad5bd826b83734ac8e,2017-12-13,rent,PH,-37.9926294,-57.5739703,365.3,60,60.0,3,,"Alq 24 meses. Living a la calle, cocina-comedor, dos dormitoprios y baño. Pequeño patioSe alquila solo con ingresos demostrables. Ajuste semestral. Alejandra Bahl Propiedades. Tel 4951028",Tres amb. Francia y Brown. Alq 24 meses,-37.992779,-57.573906,4900,Almirante Brown,Mar del Plata,Buenos Aires,2
a27fd0dabe943aeb2129ccc811ae80ab3640fa1c,2017-08-30,rent,Departamento,-38.0051777,-57.5460705,365.3,32,32.0,2,,"departamento de 2 ambientes y dependencia, a la calle. Posee  al frente . dormitorio, baño completo, cocina, lavadero, habitaciion de servicio y baño.  Con muebles.",Departamento en Alquiler. Ambientes. Dormitorios. 32 m2. 32 m2c,-38.00516952857143,-57.5460936,2171,Entre Ríos,Mar del Plata,Buenos Aires,2
4bfe65d559ca6b95924e840ec0907a8e6a16d92e,2017-10-28,rent,Departamento,-37.965375,-57.6254698,365.3,45,45.0,2,,"Departamento de 2 amb al contrafrente abierto, living amplio, dormitorio, baño completo y cocina separada. Av colon y corrientes .valor : $7000 el primer año",ALQUILER,-37.966152,-57.624012,10190,Avenida Colón,Mar del Plata,Buenos Aires,2
26d0e38bbddf28f697e0aa79e246c52e4e70ed48,2017-12-21,rent,Departamento,-38.0095217,-57.5381529,365.3,47,44.0,2,,"VARANO 2018 - Departamento de 2 ambientes  a la calle con balcón saliente  -Sobre Av. Colón y Alsina, vista panorámica -Cuenta con Living comedor al frente con salida a cómodo balcón, cama marinera y TV con DirecTV - Baño completo - Cocina cómoda con termotanque eléctrico nuevo - Dormitorio con cama matrimonial y placard - Todo en estado original - Capacidad para 3/ 4 personas.A SOLO 150 METROS DE LA PLAYA LAS TOSCAS / TORREÓN!Excelente edificio con el gas hecho, amplios ascensores - Tarifa publicada para la 1º o 2º semana de ENERO 2018 $ 7.000* CONSULTE!!!1º QUINCENA DE ENERO - $ 14.0002º QUINCENA DE ENERO: $ 16.000- *El precio publicado incluye limpieza y cable* Apto mascota chicaConsulte! TÉRMINOS Y CONDICIONES: Tarifa publicada por quincena, consulte por semana o mes. Tarifa valida por pago de contado efectivo, Alquiler Familiar, no se acepta grupo de JÓVENES A continuación, le comunicamos los horarios de ingreso y salidas . -Check IN entre las 13 hs. y las 19 hs -Check Out: entre las 08 hs. y 10 hs. | horario a confirmar por la inmobiliaria * Honorarios inmobiliarios y gastos administrativos $ 1.000 * Depósito de garantía $ 1.000 * Reserva mediante depósito bancario o transferencia. Si Usted desea reservar la propiedad, deberá responder este mail aclarando: · Nombre completo del responsable de la reserva . DNI Y CUIL · Teléfono y celular de contacto · Lugar de procedencia | domicilio · Como se compone el grupo Familiar · Fechas exactas de ingreso y egreso En caso de querer realizar la reserva, no dudes en contactarnos vía mail o telefónicamente. -Las reservas se formalizan a través de un depósito y/o transferencia bancaria, con el 25% del monto de la estadía. Una vez recibidos los datos para depositar tiene un plazo de 24hs. para efectuarlo, caso contrario quedará sin efecto dicha reserva. El solo hecho de consultar vía mail y/o telefónicamente, no formaliza la reserva. Es importante recordarle que la reserva no se hará efectiva hasta tanto no se reciba su mail de confirmación adjuntando el comprobante de depósito. Los saldos se deberán cancelar el día de ingreso, en efectivo, de contado únicamente. *Los departamentos no incluyen ropa blanca (toallas y sábanas). Disponibilidad y preciosEstadía mínima: 7 díasCantidad de pasajeros: 41º o 2º Semana  Enero  (23 dic. 2017 a 1 mar. 2018)Semana: $ 7.000 - Quincena: $ 14.000 - Mes: $ 30.000","2 amb a la calle con balcón, DirecTV y DirecTV",-38.0094944,-57.537986,1399,Avenida Colón,Mar del Plata,Buenos Aires,2
a02befdbbcb0708c79a2373116ec9730e5544b08,2017-10-06,rent,Departamento,-37.998867,-57.548191,365.3,35,35.0,1,," ALQUILER POR TEMPORADA DE VERANO .-  LINDO DEPTO DE 1 AMB Y MEDIO, DESDE EL 1 DE DICIEMBRE 2017 AL 15 DE MARZO 2018.- MUY LINDO DEPTO DE 1 AMB Y MEDIO EN ALQUILER POR TEMPORADA DE VERANO .- DESDE EL 1 DE DICIEMBRE 2017 AL 15 DE MARZO 2018.- DEPARTAMENTO DE 1 AMBIENTE Y MEDIO UBICADO EN PLENO CENTRO DE LA CIUDAD DE MAR DEL PLATA SOBRE CALLE SAN MARTÍN N°2726.#SE ENCUENTRA MUY BIEN EQUIPADO PARA 3 PERSONAS.#COMPUESTO POR: COCINA SEPARADA, SOMIER DE 2 PLAZAS, LIVING COMEDOR CON SILLÓN CAMA DE 1 PLAZA, BAÑO COMPLETO Y LAVADERO.}ENERO PRIMER QUINCENA $14.000. SEMANA $7000.ENERO SEGUNDA QUINCENA RESERVADO DESDE EL 16 AL 23 DE ENERO INCLUSIVE.ENERO SEMANA DESDE EL  24 AL 31 DE ENERO INCLUSIVE $7000.FEBRERO PRIMER QUINCENA $15.000. SEMANA $8000.FEBRERO SEGUNDA QUINCENA $14.000 SEMANA $7.000.CONSULTE MARZOTELÉFONO DE CONTACTO: (85915.-Disponibilidad y preciosEstadía mínima: 7 díasCantidad de pasajeros: 3DICIEMBRE 2017 (1 dic. 2017 a 31 dic. 2017)Semana: $ 7.000 - Quincena: $ 13.000ENERO 2018 (1 ene. 2018 a 31 ene. 2018)Semana: $ 8.500.000 - Quincena: $ 16.000FEBRERO 2018 (1 feb. 2018 a 28 feb. 2018)Semana: $ 850.000 - Quincena: $ 1.600.000",ALQUILO EN TEMPORADA DE VERANO LINDO DEPTO DE 1 AMB  EN EXCELENTE UBICACIÓN.,-37.99887685714286,-57.54818792857143,2716,Peatonal San Martín,Mar del Plata,Buenos Aires,2
df29bf4395ed3b7fcf5deae362d0eb992aad8c5e,2017-11-28,rent,Departamento,-34.740175818,-58.3939066355,365.3,40,40.0,2,1000.0,"Excelente departamento de dos ambientes con cochera en zona centrica de Banfield a 2 cuadras de la Estación de tren de Banfield y a 1 cuadra de Av. Alsina. Consta de living comedor con pisos ceramicos y consta de un sector que es ideal para un escritorio. Dormitorio con pisos ceramicos, placard y estufa de tiro balanceado. Cocina con muebles bajo mesada con conexión para lavarropas y termotanque individual. Baño completo con bañera. Todo impecable.Terraza de uso comun con el resto de las unidades y sector con piletas Expensas bajas.Alquiler más expensas, ss e impDisponible a partir de principios de Enero 2018.Cualquier consulta no dude en contactarnos: /9- Alicia VINELLI Propiedades -",2 amb c/cochera excelente zona,-34.74016038571428,-58.393942995918366,1747,Valentín Vergara,Banfield,Buenos Aires,2
3cf9fd2bf6991a0e4292f42e37dc1c5b44cd31e8,2017-11-28,rent,Departamento,-34.7800869,-58.3981165,365.3,46,46.0,2,1500.0,"*Inmobiliaria Integrante de Clubinmueble* Dpto en Temperley muy bien ubicado en barrio residencial, en 3er piso, con living comedor con ventanales de salida a balcon corrido, cocina integrada con barra desayunadora, artefacto de cocina electrico, muebles sobre y bajo mesada, dormitorio con piso flotante con placard con interiores, baño compartimentado con bañera, termotanque electrico . Cuenta con parrillas y lavadero comun en el 4to piso. 1er AÑO $7000no se admiten mascotas, se requieren recibos de sueldo o comprabantes de ingreso, y garantia propietaria.**INMOBILIARIA INTEGRANTE DEL CIC**- Categoria edificio: MUY BUENA- Estado unidad: EXCELENTE- Cocheras fijas: No",Dptp 2 amb en Temperley Oeste- 3 cuadras estacion Temp-,-34.779767,-58.39819,98,Profesor J. Mariño,Temperley,Buenos Aires,2
b1ebc9793c843485fc5c8f1a13c34016f771e3e5,2017-11-14,rent,Departamento,-34.7261134,-58.3952521,365.3,50,50.0,3,900.0,"Depto de 3 ambientes, 1º entrepiso por escalera, en inmejorable zona; con frente a la Avenida, a metros de la estación y del Supermercado COTO.Living Comedor, con placard y ventana al frente; hall de distribución con dos dormitorios, ambos con placard (uno empotrado y el otro móvil) ambos con ventanas hacia al frente; baño completo con bañera; cocina con mueble bajo y sobre mesada y lavadero separado.Termotanque y cocina eléctrica (está ultima se compra y se descuenta del alquiler). ",Departamento - Remedios De Escalada,-34.72609157187735,-58.39532895881103,6130,Avenida Hipólito Yrigoyen,Remedios de Escalada,Buenos Aires,2
ee12d12d0364ffe0448da2671b4d2e70b346087d,2017-11-08,rent,Departamento,-34.7632585,-58.4039791,365.3,40,40.0,2,2000.0,depatamento en 6º piso a la calleoientacion esteapto profesionalMUY BUEN ESTADO,Departamento - Lomas de Zamora Oeste,-34.76324559591837,-58.40401983469388,50,M. F. González,Lomas de Zamora,Buenos Aires,2
