id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat.1,lon.1,housenumber,street,city,state,bathrooms
6378eaa78733248cac76d0b4b9037109b547117f,2017-12-10,rent,PH,-34.5630876,-58.5727537,491.1,75,70.0,3,,DEPARTAMENTO TIPO CASALiving Comedor - Cocina Comedor - 2 Dormitorios - Bao - Patio - Lavadero - CocheraAMBIENTES MUY AMPLIOSGARANTIA PROPIETARIA O GARANTIA FINAER .Publicado por VIVIANA VILLALOBOS NEGOCIOS INMOBILIARIOS a traves INMOMAP,Depto T/casa de 3 ambientes - COCHERA,-34.563105,-58.572802,4801,118 - Martín Fierro,Billinghurst,Buenos Aires,2
605e3c65fdac5f6e860a6444e0bec034fd8da1ee,2017-12-06,rent,Departamento,-34.5491877,-58.5490311,491.1,53,49.0,2,,"Alquiler - departamento de 2 ambientes - muy luminoso, vista panorámica,  cochera cubierta, terraza con piscina, vestuarios con baños y salón común. Inmobiliaria Alemana . Las superficies son estimadas. -  - INMOBILIARIA ALEMANA",DEPARTAMENTO EN ALQUILER,-34.54916151515152,-58.54900887878788,4431,55 - San Juan,Villa Ballester,Buenos Aires,2
72fafbfb27d2c4b566f371da0d51301f358a1d9e,2017-12-13,rent,Departamento,-32.9535146,-60.6486693,428.35,63,63.0,3,,"Zona Zeballos 1700. Oportunidad. Piso 3. Exclusivo. Construccion 1970. Reciclado en Año 2000. Posee 65 m2, Living comedor en piso parquet, cocina independiente con lavadero. Dos dormitorios con placares. Baño completo. Balcon Al frente. Gas Natural. // Valor $ 7.850 + Expensas $ 1.500 (Empresa de Limpieza, sistema de monitoreo, Llave electronica) 30 % Aumento anual contrato 24 meses. // 1 Garantia Propietaria + 3 Laborales //Las medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgiran del título de propiedad respectivo.",Departamento 2 dormitorios Centrico Piso exclusivo ,-32.953459,-60.648738,1702,Zeballos,Rosario,Santa Fe,2
6950fbf19b07c4391a98de1e6fd9ede1c0565079,2017-11-22,rent,Departamento,-37.959313857,-57.5405574921,87.15,45,42.0,2,,"Departamento de dos ambientes frente al mar a estrenarZona Norte de Mar del Plata. Estrada y la Costa.Ficha 800.-Departamento en alquiler temporario en edificio a estrenar, primer piso a la calle con balcon.Living comedor a la calle con balcon, cerramiento de DVH, aislamiento térmico y acústico.  Dispone de un diván cama marinero, TV LCD de 24¨ con DirecTV Prepago.Baño completo con bañera.Cocina completamente instalada, todos los artefactos nuevos.Dormitorio al contrafrente, Sommier de 1,40 metros de ncho, excelente placard.Ubicacion: Delix U. Camet 1800, entre Estrada y AguirreATENCION: Los amenities del edificio son privativos al uso de los coopropietarios, no los facilitan a los inquilinos. SIN EXCEPCIÓN.",Departamento a estrenar de dos ambientes frente al mar,-37.95931130044704,-57.540544101201576,2144,Avenida Félix U. Camet,Mar del Plata,Buenos Aires,2
520cef8191f3fc35825a17a32473eacf1a1366c7,2017-12-11,rent,Departamento,-38.0048339,-57.549829,99.15,40,40.0,2,,"Departamento de 2 ambientes a la calle , equipado para 4 personas, dispone de living comedor , cocina amplia separada , dormitorio con placard, baño completo, toilete, Tv con Direct Tv, internert Wi-Fi, cochera fija descubierta.consulte valor y disponibilidades por su ",Departamento 2 ambientes con cochera Plaza Mitre,-38.004774,-57.549711,2300,Santiago del Estero,Mar del Plata,Buenos Aires,2
f2f599af31919d089b4cb81eee8eafc70f51f056,2017-07-26,rent,Departamento,-38.0107136,-57.5446846,99.15,60,60.0,3,,Semipiso 3 amb.Lamadrid y Gascón. Dos dorm .cocina semi integrada. Pisos porcelanato y flotante en dorm. Baño completo c bañera. Aberturas DVH. Placares a medida.  . Cochera cubierta.  2do piso. . Quincho común. Antiguedad 6 años. Portero visor. Cerradura electronica.camaras de seguridad.Equipado para 5/6 personasConsultenos !!!,Impecable Semipiso 3amb ,-38.010677,-57.544618,1799,Alberti,Mar del Plata,Buenos Aires,2
bd5c2cb40fb90a596a779a989e1a0b9ba63bc7e6,2017-11-27,rent,Departamento,-32.9675399,-60.6344934,198.3,23,23.0,2,600.0,"Alquiler $3800 / $4700CARACTERISTICASDepartamento al contrafrente. Ingreso a living comedor con la cocina integrada, dormitorio con placard y baño con compartimento de ducha. Luminoso. UBICACIÓNEl inmueble se ubica en el centro de la ciudad, una zona caracterizada por la amplia oferta de comercios de todos los rubros, bancos, bares y restaurantes.Muy cerca se encuentra la Av. Pellegrini, importante corredor de la ciudad. En esta área también se encuentran las siguientes facultades y universidades:- Facultad de Ciencias Exactas, Ingeniería y Agrimensura. UNR.- Instituto Politécnico Superior.- Universidad Austral.- Instituto Universitario Italiano de Rosario.- Universidad del Centro Educativo Latinoamericano.- Universidad Tecnológica Nacional.- Ciudad Universitaria de Rosario ""La Siberia"".Otra de las arterias importantes de esta zona es 27 de Febrero, caracterizada por un gran movimiento comercial y principal vía de acceso a los distintos puntos de la ciudad.Se trata de una zona altamente conectada por líneas de transporte público y con estaciones del sistema bicicletas públicas distribuidas en distintas zonas.https://",Departamento - Centro Sur,-32.967534740816326,-60.63449656530612,2459,Primero de Mayo,Rosario,Santa Fe,2
6126d2379c856767ab0bbccd13c0cdc8c72c52be,2017-08-16,rent,Departamento,-32.9646649,-60.6714355,198.3,30,30.0,1,,"AMBIENTE de piso cerámico, alacenas y bajo mesadas instalados., termotanque,  baño completo con ducha, entrepiso con estructura de caño y pisos en madera alfombrado, ",Departamento - Parque,-32.9646260244898,-60.67158707959183,2776,Avenida Francia,Rosario,Santa Fe,2
82852c1a7b7c6b0dd389cfb1f36ad32f0745e128,2017-11-04,rent,Departamento,-31.4057849,-64.2137216,198.3,40,40.0,4,2200.0," BARRIO ALBERDI EN CALLE 9 DE JULIO AL 2300.  A 1 CUADRA DE AV. COLON Y A 3 DE PLAZA JERÓNIMO LUIS DEL BARCO. LUMINOSIDAD, BUENA VENTILACIÓN. 1 DORMITORIO CON PLACARD EMPOTRADO EN PARED Y PISOS DE PARQUET.COCINA SEPARADA CON  MUEBLE BAJO MESADA, ALACENAS, TERMOTANQUE Y ANAFE. LIVING COMEDOR. EN LAS EXPENSAS ESTÁN INCLUIDOS LOS IMPUESTOS. http:// ESTEBAN.",1 DORMITORIO EN BARRIO ALBERDI. OPORTUNIDAD,-31.40577587142857,-64.21372777142857,2357,9 de Julio,Córdoba,Córdoba,2
fe92445020c6ce9b88c2f158a48589d0e8bbb2b2,2017-11-21,rent,Departamento,-34.4848827356,-58.7203530875,198.3,40,40.0,2,,"DEPARTAMENTOUN (1) Dormitorio; Cocina-Comedor con mesada y bacha, bajo mesada; Baño instalado con inodoro, lavatorio y ducha. Termotanque eléctrico de 50 litros ""FOGATA"", Llave térmica, Patio,. Lavadero compartidos.  Servicios: Pavimento, Energía eléctrica individual, Gas envasado, Pozo ciego y Bomba Sumergible compartidos. Ubicación: A 2 cuadras de Estación Grand Bourg y Centro comercial, acceso inmediato a Ruta N° 197,  a 4 cuadras de Colegios y Plaza.Contrato por 24 meses: 1° Año $3.800.-; 2° Año $ 5.300.-Mes adelantado $ 3.800.- Deposito $ 5.300.- Comisión $5.300.- Sellado de Ley $1.310,40.- Gastos totales: $ 15.710,40.-  +  Informes.Los valores detallado No incluyen IVA.-EXCLUSIVAMENTE CON GARANTÍA PROPIETARIA",Departamento - Grand Bourg,-34.485905,-58.719537,1250,Falucho,Grand Bourg,Buenos Aires,2
