id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat.1,lon.1,housenumber,street,city,state,bathrooms
3eb8a6d7f9d177bd50f48e99aa40c029edb1f23f,2017-12-15,rent,Departamento,-38.9472815,-68.0721058,600.24,76,70.0,4,,"Departamento, living comedor cocina integrado, lavadero independiente, baño con ante baño, un dormitorio grande, un dormitorio chico. Patio chico. Sin cochera.Las medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgiran del título de propiedad respectivo.","ALQUILA, Dpto. z/Hiper La Anónima un dormitorio",-38.94737807755102,-68.0720981244898,919,General Manuel Belgrano,Neuquén,Neuquén,2
9d100d02eea5d6cea35edfbab1983a562e6b5e28,2017-11-18,rent,Departamento,-34.6385086,-58.4764579,600.24,72,72.0,3,,Depto de 3 amb amueblado con espaciio guarda cocher en alquiler. 2 baños. con balcón. Muy buen estado . 72 mtsLas medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgiran del título de propiedad respectivo.,Hermoso 3 ambientes amueblado con cochera en Alquiler,-34.638482,-58.476484,560,Mariano Acosta,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
d345ce0389ca52a7461f51b2068ec742371ba804,2017-12-26,rent,Departamento,-34.600591,-58.437765,600.24,50,45.0,1,,"REQUISITOS: GARANTÍA PROPIETARIA DE CABA E INGRESOS EN BLANCO2 AMBIENTES   balcon  Edificio de 8 pisos. - Fachada de ladrillos a la vista. - Importante hall de entrada con revestimientos de primera calidad. - Cerramiento de blindex. - Ascensor automático de acero inoxidable. - Parrilla - solárium - hidromasajes - espacio para laundry. Características de las unidades - Estufas de tiro balanceado en dormitorios marca Longvie o similar. - Cocina de cuatro hornallas y calefón marca Longvie o similar. - Estar comedor, pasillo y dormitorio con pisos flotantes. - Grandes ventanas con cortinas de enrollar. - Aberturas con marcos de chapa y hojas de aluminio. - Puertas internas enchapadas. - Herrajes de bronce. - Puertas frentes de placard de piso a techo enchapadas. - Interiores de placard. - Muebles bajo mesadas y alacenas en laminado plástico. - Mesada de granito con bacha de acero inoxidable. - Grifería Queija o similar. - Baño con revestimiento cerámico de primera calidad. - Artefactos de baños Ferrum o similar. - Balcones aterrazados. SALGUERO PROPIEDADES   info@salguero- Condiciones Expensas: ARS 1200 Antigüedad: 1 años Total pisos: 10 Superficie total: 50 metros Superficie construida: 45 metros Dormitorios: 1 Baños: 1 Servicios Encargado Edificio: Si Agua caliente: Calefón ",MONO AMBIENTE DIVISIBLE EN ALQUILER ,-34.6006,-58.4378,385,"Drago, Luis Maria",Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
990b2637e66cec325f5c45004a4d7759f957e1a9,2017-11-15,rent,Departamento,-34.5711496,-58.4232966,600.24,53,50.0,3,,"La propiedad ubicada en 4to piso cuenta con living-comedor de 4 mts x 2.50, balcón al frente de 2.50 mts, Cocina 2.50 x 1.20 cuenta con ventilación natural. Termotanque y espacio lavadero incorporado.Desde el living pasando por un hall distribuidor se accede a las habitaciones ambas con vista al exterior. Cuenta con un baño completo.""EDIFICIO SIN ACCESIBILIDAD PARA DISCAPACITADOS""""LAS INMOBILIARIAS TIENEN PROHIBIDO DE COBRAR HONORARIOS Y GASTOS DE GESTORÍA DE INFORMES A LOS INQUILINOS PARA LOS CASOS DE ALQUILER DE VIVIENDA UÚNICA""Tel. Matricula CPI 3423Hector Rodolfo Menendez",Departamento 3 amb Palermo ,-34.5713,-58.4233,3898,Del Libertador Av.,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
3ab442f3bb3a6d21974fc8692a776f27e2038d94,2017-10-21,rent,Departamento,-34.5652243,-58.4609175,600.24,40,40.0,2,2500.0,"DOS AMBIENTES EN TORRE, MUY LUMINOSO, LIVING COMEDOR, DORMITORIO CON PLACARD, BAÑO COMPLETO, COCINA. SE ENTREGA RECIÉN PINTADO Y LOS PISOS  PLASTIFICADOS. -  - FERA CANCELLIERI PROPIEDADES",DEPARTAMENTO EN ALQUILER,-34.5652,-58.4608,2049,Cramer,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
86ef6ff30cc683f519fdab2bef4ff6ba6f0bcf98,2017-11-15,rent,Departamento,-34.5536439,-58.4526078,600.24,44,38.0,2,,"2 AMB CONTRAFRENTE BALCON ATERRAZADO CON PARRILLA COCINA AMPLIA Y LAVADERO SEPARADO - DORMITORIO EN SUITE - BAÑO Y TOILLETE MUCHOS VENTANALES - PERSIANAS EN VENTANA DORMITORIO //acceso para personas con movilidad reducida // EDIFICIO CON PISCINA SUM SOLARIUM PARRILLA  (OPCIONAL COCHERA FIJA $2000 EN PB)REQUISITOS Y CONDICIONES: 1 GARANTIA PROPIETARIA DE CAPITAL FEDERAL O SEGURO DE CAUCIÓN FINAER, AFIANZAR, PREMIUM O MONCLAIR 1 MES ADELANTO + 2 MESES DEPÓSITO INCREMENTO SEMESTRAL 15% NO SE ACEPTAN GARANTIAS BANCARIAS. se alquila sin perro Artículo 4°.- Incorpórase como inciso 8 del artículo 10 de la Ley 2340 (texto consolidado según Ley N° 5666) el siguiente texto: Hacer constar en todo ofrecimiento publicitario de locación de inmuebles con destino habitacional que se emita vía páginas web, propias o de terceros, la siguiente leyenda: “Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes”.-LAS MEDIDAS SON APROXIMADAS, LAS EXACTAS SURGIRÁN DEL PLANO MH CORRECPONDIENTE.LOS VALORES DE EXPENSAS SON APROXIMADOS, EN NINGUNO DE LOS CASOS SON MONTOS FIJOS.",Avenida Monroe 1629 5º - Belgrano - Capital Federal,-34.5537,-58.4525,1627,Monroe,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
82e02c1d09535d0e8db4889c27e847acb9a45b05,2017-12-06,rent,Departamento,-34.5539731586,-58.459444101,600.24,52,52.0,2,3300.0,"SEMIPISO 2 AMBIENTES ""APTO PROFESIONAL, ubicado a 2 cuadras Av Cabildo y Subte D. El edificio posee en la terraza una piscina, solarium con deck y quincho con parrilla. Contrafrente. Palier semiprivado, living comedor con balcon, cocina, baño completo y dormitorio con placard e interior completo, 2 aires split frio calor, los pisos son de madera, el mueble de cocina incluye alacena. Se entrega recien pintado. NO SE ACEPTA MASCOTASLas medidas, superficies y montos de expensas consignadas en la presente descripción son aproximadas, a solo título orientativo y no son vinculantes. Las medidas y superficies reales surgen del Título respectivo, y el monto de expensas real, del recibo emitido por la Administración del Consorcio de Copropietarios que rige el inmueble.Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos, en el caso de ser personas físicas. -  - LUISIO PROPIEDADES",DEPARTAMENTO EN ALQUILER,-34.554,-58.4594,2104,Congreso,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
36fdc1a0cb9d6e8900093112766b966d71be57e7,2017-12-27,rent,Departamento,-34.5662192292,-58.4523519502,600.24,46,38.0,2,,"Moderno edificio con seguridad 24 hs, Luminoso departamento de dos ambientes, cuenta con living comedor con salida al balcón a pulmón de manzana orientación norte, amplia cocina con espacio para lavarropas y comedor diario, baño completo con bañera, dormitorio con placares, a media cuadra de Av Cabildo, multiples medios de transportes y comercios en la zona.Matriculado:Sebastian OlivasCPI 6713Cel. 1536032949Las medidas, superficies y proporciones consignadas en esta ficha son aproximadas y solo se muestran a título informativo.",Excelente Zona seg 24 hs ,-34.5662,-58.4524,2400,"Pino, Virrey Del",Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
72a5f4fe2bff3d5b76a3fce4ed0a558487bd9d75,2017-11-28,rent,Departamento,-34.5895459,-58.3973636,600.24,35,35.0,2,,"Alquiler con muebles en recoleta, apto profesional , De fácil acceso a los medios de transportes y sitios de interés de la Ciudad Autónoma De Buenos Aires.A dos cuadras del Mall Recoleta MÍNIMO SE ALQUILA POR UN AÑODISPONIBLE A PARTIR DEL 22/12/2017",Alquiler en Recoleta de dos ambientes,-34.5895,-58.3969,1690,Azcuenaga,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
938cf4f0285e3e3fcc3584e3e7cfc34b33fbbd94,2017-12-05,rent,Departamento,-34.6211839,-58.3731163,600.24,72,68.0,3,,"DEPARTAMENTO DE 3 AMB . AMPLIO CONCOCINA CON LAVADERO SEPARADO- LIVING COMEDOR CON HOGAR - BALCON A LA CALLE- ORIENTACION ESTE - DORMITORIOS CON PLACARES - BAÑO COMPLETO CON MAMPARA DE VIDRIO- PISOS DE PARQUET - MUY BUENA UBICACION - CERCA DE UNIVERSIDADES Y SUBTES . NO POSEE RAMPA DE ACCESO.--REQUISITOS : GARANTIA Y RECIBOS DE SUELDO “Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes”.-Las medidas son aproximadas y al solo efecto orientativo. Las medidas reales surgiran del título de propiedad respectivo.",DEPARTAMENTO DE 3 AMB. CON BALCON AL FRENTE,-34.6212,-58.373,1137,Bolivar,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,2
